City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
215,markovo,57.3206,107.0881,297.9,38,7,0.89,RU,1722913691
216,gadani,25.1185,66.7299,301.27,87,100,5.14,PK,1722913693
217,lorengau,-2.0226,147.2712,302.56,69,14,3.88,PG,1722913694
218,lazaro cardenas,17.9583,-102.2,299.31,88,99,2.09,MX,1722913521
219,pimenta bueno,-11.6725,-61.1936,296.02,42,2,1.44,BR,1722913696
220,quelimane,-17.8786,36.8883,293.32,93,15,0.58,MZ,1722913697
221,codrington,-38.2667,141.9667,287.78,63,22,7.47,AU,1722913698
222,baukau,51.5526,7.2042,292.16,85,1,1.58,DE,1722913699
223,nemuro,43.3236,145.575,290.89,97,89,3.16,JP,1722913454
224,siwa oasis,29.2041,25.5195,301.97,42,4,2.66,EG,1722913701
225,ylitornio,66.3089,23.6773,284.84,70,39,0.83,FI,1722913702
226,san luis de la loma,17.2706,-100.8939,299.64,84,89,0.95,MX,1722913703
227,longyearbyen,78.2186,15.6401,281.06,93,75,3.09,SJ,1722913705
228,pali,25.7667,73.3333,298.64,91,100,4.74,IN,1722913706
229,port elizabeth,-33.918,25.5701,284.44,83,0,2.2,ZA,1722913707
230,valledupar,10.4631,-73.2532,299.16,70,23,0.77,CO,1722913708
231,bayan,46.0833,127.4,300.63,74,67,4.37,CN,1722913709
232,imbituba,-28.24,-48.6703,293.63,96,86,1.77,BR,1722913710
233,caconda,-13.7333,15.0667,286.81,53,2,1.04,AO,1722913711
234,ad dabbah,18.05,30.95,304.83,51,100,4.94,SD,1722913712
235,mahibadhoo,3.7833,72.9667,301.56,73,100,4.13,MV,1722913713
236,atarra,25.2833,80.5667,302.12,72,100,5.3,IN,1722913715
237,rikaze,29.25,88.8833,283.24,77,100,1.21,CN,1722913716
238,port moresby,-9.4431,147.1797,299.6,77,63,9.16,PG,1722913717
239,mumford,5.2618,-0.759,296.34,90,100,5.04,GH,1722913718
240,salinas,36.6777,-121.6555,293.38,82,0,5.14,US,1722913560
241,whakatane,-37.9585,176.9854,289.75,61,0,1.97,NZ,1722913720
242,kidal,18.4411,1.4078,302.49,42,81,3.85,ML,1722913489
243,sinabang,2.4803,96.3801,301.1,73,88,0.46,ID,1722913722
244,santa terezinha,-29.9002,-50.0904,289.88,98,100,6.15,BR,1722913723
245,atafu village,-8.5421,-172.5159,300.1,80,100,3.63,TK,1722913494
246,revda,56.801,59.9303,288.27,90,99,2.91,RU,1722913725
247,chonchi,-42.6128,-73.8092,278.77,96,100,1.9,CL,1722913727
248,kamaishi,39.2667,141.8833,299.7,81,70,1.99,JP,1722913728
249,llorente,11.4119,125.5458,304.68,59,88,1.86,PH,1722913729
250,laguna,38.421,-121.4238,304.09,42,0,3.6,US,1722913730
251,avarua,-21.2078,-159.775,298.18,83,100,3.6,CK,1722913731
252,acarau,-2.8856,-40.12,298.19,81,94,7.15,BR,1722913732
253,wuwei,37.9281,102.6414,298.32,38,96,2.32,CN,1722913733
254,panjab,34.388,67.0233,286.34,34,0,2.72,AF,1722913734
255,charters towers,-20.1,146.2667,299.25,36,0,3.98,AU,1722913735
256,baran',54.4764,30.3181,287.67,87,95,1.1,BY,1722913736
257,talnakh,69.4865,88.3972,288.64,45,3,1.72,RU,1722913645
258,ancud,-41.8697,-73.8203,280.39,79,100,4.47,CL,1722913739
259,abay,49.6311,72.8539,293.36,39,0,1.63,KZ,1722913740
260,beacon square,28.2086,-82.7554,300.96,88,100,0.45,US,1722913742
261,port arthur,38.8,121.2667,302.27,74,85,3.49,CN,1722913516
262,farafangana,-22.8167,47.8333,291.12,92,6,1.68,MG,1722913744
263,petrolina,-9.3986,-40.5008,295.18,68,20,3.09,BR,1722913731
264,papao,-17.75,-149.55,300.74,80,0,8.01,PF,1722913691
265,sayat,38.7839,63.8803,300.08,16,0,7.34,TM,1722913494
266,itoman,26.1247,127.6694,306.36,79,75,5.66,JP,1722913748
267,rio san juan,19.6439,-70.0763,299.57,91,6,3.62,DO,1722913751
268,devils lake,48.1128,-98.8651,290.34,87,0,2.06,US,1722913653
269,saudarkrokur,65.7461,-19.6394,283.34,86,46,2.4,IS,1722913475
270,al ghayzah,16.2079,52.176,297.92,89,71,1.08,YE,1722913754
271,bubaque,11.2833,-15.8333,299.29,84,100,6.44,GW,1722913542
272,truth or consequences,33.1284,-107.2528,306.28,24,20,3.6,US,1722913504
273,zeya,53.75,127.2667,296.64,65,74,1.39,RU,1722913757
274,mildura,-34.2,142.15,288.75,67,52,3.76,AU,1722913758
275,susuman,62.7833,148.1667,290.56,40,100,7.93,RU,1722913759
276,salat,37.84,40.8942,290.3,23,0,2.13,TR,1722913761
277,lappeenranta,61.0587,28.1887,285.18,100,75,1.03,FI,1722913762
278,tomatlan,19.9333,-105.25,297.8,95,100,0.86,MX,1722913763
279,tura,25.5198,90.2201,296.82,99,100,1.45,IN,1722913764
280,yasinya,48.2794,24.3604,284.59,99,100,1.08,UA,1722913765
